#Frame      Mode1    Mode2    Mode3
     206    1.723   26.693    8.201
     207    0.343   25.434    9.660
     208    0.525   26.880   10.052
     209   -1.140   30.463    7.313
     210    2.182   24.664    7.165
     211    4.674   23.487    8.941
     212    5.183   26.819    6.170
     213    4.477   26.111    7.272
     214    2.093   27.360    6.964
     215    3.009   26.184    5.861
     216    3.115   23.938    4.808
     217    0.661   21.488    8.676
     218    1.790   18.296   11.638
     219    6.345   17.977    8.855
     220    7.453   14.584   10.596
     221    5.606   10.590    6.123
     222    6.731   12.257   10.638
     223    7.260   16.162   10.072
     224    6.639   14.244   10.251
     225    8.179    7.667    5.615
     226    4.700    6.146    7.380
     227    6.606    5.192    7.838
     228    7.810    6.622   10.129
     229    7.093   11.647   11.347
     230    8.372    5.030    9.648
     231    7.343   14.396   12.907
     232    9.288    9.004   11.995
     233    9.799    8.653   10.749
     234    8.257   10.594   10.266
     235    4.690   12.571   13.056
     236   10.114    6.351    8.803
     237    8.211    9.916    8.638
     238    6.475    9.226   13.470
     239    8.818    7.610    8.166
     240    8.409    6.058    9.527
     241    4.663   12.894    7.695
     242   10.947   -0.011    1.899
     243    6.865   12.505    7.600
     244    5.221    8.462    6.210
     245    6.279   11.864    3.898
     246    5.411    4.656    2.187
     247    5.562    5.272    4.658
     248    6.411    3.178    4.266
     249    5.972    6.006    1.472
     250    7.131    2.158    1.290
     251    4.447    7.228   -0.916
     252    7.470    8.170    1.172
     253    5.529    8.593    2.472
     254    1.729   10.063    2.302
     255    4.317   11.140   -0.023
     256    1.932   10.520    0.498
     257    3.915    7.587   -0.290
     258    2.494   14.374    2.129
     259    3.091    9.051    4.282
     260    4.962   12.127    6.800
     261    3.687   15.003   14.400
     262    4.428   11.881   10.088
     263    5.815    7.448    7.751
     264    0.778    9.615    8.062
     265    1.813   12.370    9.003
     266    2.772   10.178    4.383
     267    1.356   10.091    3.173
     268    2.960    8.272    2.984
     269    2.575    6.904    4.538
     270    2.990   10.541    3.926
     271    2.633    7.766    6.105
     272    4.453    5.582    5.982
     273    4.274    6.024    5.033
     274    1.338    6.869    3.218
     275    2.739    7.329    6.753
     276    3.695    4.557    6.431
     277    3.559    6.163    4.213
     278    3.907    3.753    8.401
     279    2.221    8.574    8.906
     280    2.819    7.556    0.683
     281    1.187    9.956    2.242
     282    2.090    9.107    1.642
     283    2.128    7.996    3.622
     284    2.915    5.582    3.011
     285    1.807    6.580    4.251
     286    4.045    4.520    2.183
     287    4.978    6.215    3.529
     288    3.483    6.239    0.975
     289    4.563    4.812    0.581
     290    4.239    2.300   -0.045
     291    6.096    6.204    1.166
     292    4.405    2.789   -1.585
     293    2.545    3.364    2.772
     294    3.227    7.272    2.251
     295    5.484    5.230    2.156
     296    6.881    3.250    0.241
     297    4.382    6.706   -0.561
     298    5.252    1.880    2.812
     299    2.681    6.595   -1.718
     300    4.885    4.095    2.252
     301    6.184    7.769   -0.655
     302    4.781    6.012    2.228
     303    4.699    6.019   -0.250
     304    6.599    4.169    0.187
     305    8.525    2.569    2.246
     306    3.920    5.179    1.745
     307    4.472    5.634    1.760
     308    6.087    5.864    0.293
     309    8.798    4.348    1.676
     310    7.783    3.110    2.574
     311    8.636    0.971    2.322
     312    6.520   -0.636    3.366
     313    5.136    0.544    4.419
     314    5.257    2.027    2.594
     315    1.872    3.725    3.873
     316    1.598    2.750   -5.341
     317    7.688    2.443   -3.473
     318    5.460    1.279   -2.000
     319    5.936    3.423   -3.964
     320    4.176    0.112    0.735
     321    7.128   -0.047   -2.156
     322    4.409    3.718    0.852
     323    3.887   -0.760   -1.010
     324    6.458    1.585   -4.313
     325    8.143    2.356   -4.615
     326    7.487    2.136   -0.419
     327    5.789    1.253    1.482
     328    6.761    1.019    2.407
     329    7.522    2.011   -0.936
     330    7.358    3.666   -2.443
     331    6.444   -1.400   -1.776
     332    7.287   -2.186   -2.789
     333    6.944    2.403   -5.752
     334    5.187    0.423   -6.248
     335    6.070    2.047   -3.854
     336    3.423    0.568    3.560
     337    3.969    4.945   -3.194
     338    6.695    1.651   -2.626
     339    8.450   -0.352   -6.226
     340    9.716    1.477   -4.603
